Place,Player,PDGA#,Total,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,Total Points,Events Played,Top 20s,Top 10s,Top 3s,Wins,Avg Finish,Rounds,HolesCounted,Ace Points,Albatross Points,Eagle Points,Birdie Points,Bogey+ Points,Place Points
88,Nathan Sexton,18824,+16,0,0,0,5,19,12,-14,1,0,0,0,0,88,4,72,0,0,0,10,-24,0
91,Fritiof Fagergren,135125,+17,0,0,0,7,17,12,-10,1,0,0,0,0,91,4,72,0,0,0,14,-24,0
92,Hayden Carroll,124016,+18,0,0,0,7,19,10,-6,1,0,0,0,0,92,4,72,0,0,0,14,-20,0
93,Wyatt Mahoney,89460,+19,0,0,0,7,17,12,-10,1,0,0,0,0,93,4,72,0,0,0,14,-24,0
93,Thomas Gilbert,85850,+19,0,0,0,5,21,10,-10,1,0,0,0,0,93,4,72,0,0,0,10,-20,0
95,Paul Oman,34344,+20,0,0,0,8,19,9,-2,1,0,0,0,0,95,4,72,0,0,0,16,-18,0
95,Bradley Williams,31644,+20,0,0,0,4,20,12,-16,1,0,0,0,0,95,4,72,0,0,0,8,-24,0
97,Damien Trunkey,28623,+22,0,0,0,8,13,15,-14,1,0,0,0,0,97,4,72,0,0,0,16,-30,0
98,Steve Brinster,10628,+23,0,0,0,3,18,15,-24,1,0,0,0,0,98,4,72,0,0,0,6,-30,0
99,Barry Schultz,6840,+24,0,0,0,5,21,10,-10,1,0,0,0,0,99,4,72,0,0,0,10,-20,0
100,Bo McLaughlin,87143,+28,0,0,0,5,15,16,-22,1,0,0,0,0,100,4,72,0,0,0,10,-32,0
101,Jayden Torres,108560,+30,0,0,0,7,11,18,-22,1,0,0,0,0,101,4,72,0,0,0,14,-36,0
101,Noah Higgins,84157,+30,0,0,0,8,13,15,-14,1,0,0,0,0,101,4,72,0,0,0,16,-30,0
103,Derek Sahr,39552,+31,0,0,0,4,16,16,-24,1,0,0,0,0,103,4,72,0,0,0,8,-32,0
104,Will Schusterick,29064,+37,0,0,0,2,12,22,-40,1,0,0,0,0,104,4,72,0,0,0,4,-44,0
104,Alex Berg,65488,+37,0,0,0,7,11,18,-22,1,0,0,0,0,104,4,72,0,0,0,14,-36,0
106,James Collier,132972,+39,0,0,0,3,13,20,-34,1,0,0,0,0,106,4,72,0,0,0,6,-40,0
107,David Feldberg,12626,69,0,0,0,9,10,17,-16,1,0,0,0,0,107,1,18,0,0,0,18,-34,0
