site_event_id,event_id,Year,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Kyle Klein,85132,1045,218,11,T41,0,0,0,0,0,0,0,9,27,18,-9.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Luke Samson,59419,1013,218,11,T41,0,0,0,0,0,0,0,7,30,17,-10.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Paul Ulibarri,27171,1030,218,11,T41,0,0,0,0,0,0,0,5,35,14,-9.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Austin Turner,54049,1030,219,12,T50,0,0,0,0,0,0,0,7,31,16,-9.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,J.J. Campbell,170839,1003,219,12,T50,0,0,0,0,0,0,0,9,29,16,-7.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Dallas Garber,138089,1021,220,13,T52,0,0,0,0,0,0,0,9,30,15,-6.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Nathan Queen,68286,1027,220,13,T52,0,0,0,0,0,0,0,5,32,17,-12.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Bo McLaughlin,87143,1015,221,14,T54,0,0,0,0,0,0,0,10,28,16,-6.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,G.T. Hancock,49885,1023,221,14,T54,0,0,0,0,0,0,0,7,32,15,-8.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Kevin Jones,41760,1016,221,14,T54,0,0,0,0,0,0,0,5,34,15,-10.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Albert Tamm,76669,1020,222,15,T57,0,0,0,0,0,0,0,8,27,19,-11.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Alden Harris,98091,1023,222,15,T57,0,0,0,0,0,0,0,5,35,14,-9.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Harper Thompson,60259,1025,222,15,T57,0,0,0,0,0,0,0,8,27,19,-11.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Gavin Babcock,80331,1034,223,16,T60,0,0,0,0,0,0,0,5,31,18,-13.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Zach Arlinghaus,65266,1021,223,16,T60,0,0,0,0,0,0,0,4,35,15,-11.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Brandon Green,240431,1002,224,17,T62,0,0,0,0,0,0,0,6,30,18,-12.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jamie Kiep,68815,1016,224,17,T62,0,0,0,0,0,0,0,7,26,21,-14.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Brandon Brown,87673,1018,226,19,T64,0,0,0,0,0,0,0,2,34,18,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Clay Edwards,91397,1020,226,19,T64,0,0,0,0,0,0,0,3,32,19,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Logan Plake,76846,1008,226,19,T64,0,0,0,0,0,0,0,5,34,15,-10.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Thunder Schultz,56016,1012,227,20,67,0,0,0,0,0,0,0,0,35,19,-19.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Bradley Baumgardner,253857,993,228,21,T68,0,0,0,0,0,0,0,6,24,24,-18.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Wyatt Mahoney,89460,1018,228,21,T68,0,0,0,0,0,0,0,5,29,20,-15.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Aidan Scott,99246,1023,229,22,T70,0,0,0,0,0,0,0,6,25,23,-17.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Calvin Lonnquist,145206,1013,229,22,T70,0,0,0,0,0,0,0,6,26,22,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Eric Oakley,53565,1011,230,23,T72,0,0,0,0,0,0,0,9,20,25,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jacob Blair,52785,1010,230,23,T72,0,0,0,0,0,0,0,3,27,24,-21.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jacob Courtis,56511,1009,230,23,T72,0,0,0,0,0,0,0,6,27,21,-15.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Chad Sherbert,61977,1008,231,24,75,0,0,0,0,0,0,0,5,27,22,-17.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Connor O'Reilly,99648,1011,232,25,T76,0,0,0,0,0,0,0,6,26,22,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Joshua Patin,56037,1007,232,25,T76,0,0,0,0,0,0,0,4,28,22,-18.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Matt Bell,48950,1025,232,25,T76,0,0,0,0,0,0,0,3,32,19,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Brenden Koontz,138655,964,233,26,T79,0,0,0,0,0,0,0,3,31,20,-17.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Hayden Frederiksen,205985,1008,233,26,T79,0,0,0,0,0,0,0,7,26,21,-14.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Parker Austin,165881,1014,234,27,81,0,0,0,0,0,0,0,5,28,21,-16.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Nate Corder,44800,981,235,28,82,0,0,0,0,0,0,0,1,31,22,-21.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Garrett D. Knox,150052,979,236,29,83,0,0,0,0,0,0,0,1,30,23,-22.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Joey Temali,100818,986,239,32,T84,0,0,0,0,0,0,0,1,28,25,-24.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Logan Weiss,43210,1000,239,32,T84,0,0,0,0,0,0,0,2,27,25,-23.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Connor King,180719,976,240,33,T86,0,0,0,0,0,0,0,5,23,26,-21.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Eli Swansen,128050,994,240,33,T86,0,0,0,0,0,0,0,4,25,25,-21.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Micah Rousse,178069,980,241,34,T88,0,0,0,0,0,0,0,4,21,29,-25.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Trevon Crowe,67172,1005,241,34,T88,0,0,0,0,0,0,0,3,25,26,-23.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Noah Fiveash,99153,966,242,35,90,0,0,0,0,0,0,0,5,20,29,-24.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,James Bennett,93274,982,243,36,91,0,0,0,0,0,0,0,4,26,24,-20.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Woods McCue,187773,964,244,37,92,0,0,0,0,0,0,0,2,21,31,-29.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Isaac Chance,198295,961,246,39,T93,0,0,0,0,0,0,0,4,21,29,-25.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Joseph Carey,73855,987,246,39,T93,0,0,0,0,0,0,0,1,27,26,-25.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jay Minton,145623,993,247,40,T95,0,0,0,0,0,0,0,1,24,29,-28.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Mickey Welsh,166089,993,247,40,T95,0,0,0,0,0,0,0,0,23,31,-31.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Matthew Brown,175222,977,250,43,97,0,0,0,0,0,0,0,1,22,31,-30.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,John Fowler,6520,971,255,48,98,0,0,0,0,0,0,0,0,23,31,-31.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Lucas Carmichael,151146,1013,999,19,99,0,0,0,0,0,0,0,3,18,33,-30.0,1.0,3,54
