site_event_id,event_id,Year,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jamie Kiep,68815,1016,60,-1,T51,0,0,0,0,0,0,0,4,12,3,1.0,1.0,2,19
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Lucas Carmichael,151146,1013,63,-1,T51,0,0,0,0,0,0,0,8,12,5,3.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Mason Ford,72844,1038,62,-1,T51,0,0,0,0,0,0,0,7,11,5,2.0,1.0,2,23
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Wyatt Mahoney,89460,1018,60,-1,T51,0,0,0,0,0,0,0,6,9,4,2.0,1.0,2,19
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Aidan Scott,99246,1023,60,0,T57,0,0,0,0,0,0,0,6,10,4,2.0,1.0,2,20
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Albert Tamm,76669,1020,61,0,T57,0,0,0,0,0,0,0,5,10,5,0.0,1.0,2,20
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Alden Harris,98091,1023,62,0,T57,0,0,0,0,0,0,0,7,10,6,1.0,1.0,2,23
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Brandon Brown,87673,1018,64,0,T57,0,0,0,0,0,0,0,5,15,5,0.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Corey Ellis,44512,1031,63,0,T57,0,0,0,0,0,0,0,6,14,5,1.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Eric Oakley,53565,1011,64,0,T57,0,0,0,0,0,0,0,9,9,7,2.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,J.J. Campbell,170839,1003,64,0,T57,0,0,0,0,0,0,0,8,12,7,1.0,1.0,2,27
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jacob Blair,52785,1010,63,0,T57,0,0,0,0,0,0,0,6,14,5,1.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jakub Semerád,91925,1024,61,0,T57,0,0,0,0,0,0,0,5,12,4,1.0,1.0,2,21
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Paul Krans,132521,1034,61,0,T57,0,0,0,0,0,0,0,7,8,7,0.0,1.0,2,22
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Thomas Canfield,103148,993,64,0,T57,0,0,0,0,0,0,0,6,16,4,2.0,1.0,2,26
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Bo McLaughlin,87143,1015,63,1,T68,0,0,0,0,0,0,0,5,15,5,0.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1030,63,1,T68,0,0,0,0,0,0,0,5,15,4,1.0,1.0,2,24
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Isaac Robinson,50670,1047,65,1,T68,0,0,0,0,0,0,0,9,14,5,4.0,1.0,2,28
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Simon Lizotte,8332,1038,63,1,T68,0,0,0,0,0,0,0,5,14,5,0.0,1.0,2,24
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Calvin Lonnquist,145206,1013,64,2,T72,0,0,0,0,0,0,0,4,17,6,-2.0,1.0,2,27
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Hayden Carroll,124016,1005,63,2,T72,0,0,0,0,0,0,0,3,17,5,-2.0,1.0,2,25
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Matthew Orum,18330,1033,63,3,T74,0,0,0,0,0,0,0,6,10,8,-2.0,1.0,2,24
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Nathaniel Johnson,138355,994,66,3,T74,0,0,0,0,0,0,0,6,18,7,-1.0,1.0,2,31
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Ryan Monn,144929,1022,65,3,T74,0,0,0,0,0,0,0,7,15,8,-1.0,1.0,2,30
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Whit Stephenson,241573,996,64,3,T74,0,0,0,0,0,0,0,5,15,7,-2.0,1.0,2,27
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1042,63,4,T78,0,0,0,0,0,0,0,4,15,5,-1.0,1.0,2,24
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Joey Temali,100818,986,64,4,T78,0,0,0,0,0,0,0,8,8,10,-2.0,1.0,2,26
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Rasmus Saukkoriipi,136325,1022,68,4,T78,0,0,0,0,0,0,0,11,14,10,1.0,1.0,2,35
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Silas Schultz,79047,1030,67,4,T78,0,0,0,0,0,0,0,6,17,8,-2.0,1.0,2,31
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Chris Clemons,50401,1017,65,5,T82,0,0,0,0,0,0,0,7,12,9,-2.0,1.0,2,28
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Connor O'Reilly,99648,1011,64,5,T82,0,0,0,0,0,0,0,6,13,7,-1.0,1.0,2,26
